TeamId,TeamName,SubmissionDate,Score
8903880,"KAIS ZAIRI","2023-02-11 16:58:33",1.00000
5013751,"Vivo Vinco","2023-02-12 17:14:49",1.00000
8857127,JeeShee,"2023-02-13 04:08:03",1.00000
7943932,KISSEL,"2023-03-26 16:00:57",1.00000
9882507,MLCV,"2023-04-11 16:27:40",1.00000
9892209,"Ice Tree","2023-02-15 08:45:16",1.00000
9406233,"fırengız kerımova","2023-02-15 12:07:50",1.00000
9894681,"Yevhenii Chernichenko","2023-02-15 21:57:39",1.00000
7474352,"Muhammad Shefin Gani","2023-02-16 14:48:53",1.00000
9903330,xingchili,"2023-02-17 08:03:47",1.00000
9904180,Juciyyyyyy,"2023-02-17 10:46:46",1.00000
9904560,qxprince,"2023-02-17 14:48:34",1.00000
9805093,EyadAlqaysi,"2023-02-21 21:09:04",1.00000
9911130,"Mohammed Alzhrani","2023-02-18 21:10:41",1.00000
8633241,"Noman Baig","2023-02-19 12:19:37",1.00000
9915067,"Harold Placido","2023-02-19 20:13:01",1.00000
9838636,"Hitoshi Ikeda","2023-03-05 06:53:08",1.00000
9179657,leeheewon-01,"2023-02-22 13:49:01",1.00000
9932510,"Sivario Buchanan","2023-02-22 18:25:17",1.00000
9937071,"Swayam Patil","2023-02-23 12:08:23",1.00000
6659679,CauchyEIX,"2023-02-23 19:44:40",1.00000
9950548,Limando1Limon,"2023-02-25 18:32:38",1.00000
9955100,"Yang Lemon","2023-03-06 15:14:31",1.00000
9965199,"Bainubelli Laxmiprasad","2023-02-28 11:47:35",1.00000
9745627,J€ANMPIA,"2023-04-06 03:13:38",1.00000
9309871,"Alaa Adel","2023-04-11 08:55:10",1.00000
9743954,Unmoved.Finance,"2023-03-05 18:49:26",1.00000
9786674,"Mojtaba Khatami","2023-03-05 21:34:58",1.00000
9999416,"Paul Marande","2023-03-06 16:26:51",1.00000
10003681,"Дмитрий Артемов","2023-03-07 09:49:30",1.00000
10011956,Romkaq,"2023-03-08 18:39:29",1.00000
10015362,"Jin Sun","2023-03-09 05:19:52",1.00000
9230731,"Junqi Yan","2023-03-09 18:07:16",1.00000
9999913,"Maksym Girlya","2023-03-14 18:04:32",1.00000
10033736,"Ryota Matsushima","2023-03-14 14:19:10",1.00000
10034300,HrithikSharma,"2023-03-12 10:38:04",1.00000
9961721,ClarenceLWang,"2023-03-13 18:57:05",1.00000
1434316,"Sadi Evren SEKER","2023-03-23 12:33:22",1.00000
10060663,"Muhammet Ali Okan","2023-03-16 12:57:48",1.00000
10061115,neroxxxx,"2023-03-20 15:22:55",1.00000
10066308,NUDTDMZWQ,"2023-03-17 12:51:38",1.00000
8846929,Meowzart,"2023-03-19 00:46:12",1.00000
9402576,pathogeN7,"2023-03-20 01:37:46",1.00000
8683495,"💥Tesla, Inc.💥","2023-03-20 03:35:45",1.00000
10066841,Mona729,"2023-03-20 12:47:11",1.00000
8790656,guansuo,"2023-03-20 12:48:37",1.00000
10081881,"Vladimir Kirus","2023-04-11 13:40:45",1.00000
10082074,"Usama Buttar","2023-03-20 22:47:24",1.00000
10087211,DATAMWLJ,"2023-03-21 11:25:09",1.00000
10093657,xienasijia,"2023-04-02 10:07:25",1.00000
9292690,"Juwon yeo","2023-04-07 12:07:18",1.00000
9729677,"Vinit Kanani","2023-03-23 18:36:08",1.00000
10108665,"nimil salam","2023-03-24 12:38:49",1.00000
10096081,"Rajinikanth Kakarla","2023-03-24 15:02:39",1.00000
9992375,"AnastasiyaVolkovaf ","2023-04-10 11:38:01",1.00000
10120049,"Kunal Malhotra #2","2023-03-26 18:30:36",1.00000
10121858,Siyuan01,"2023-03-27 05:04:26",1.00000
9997374,"Brayan Acebo","2023-03-28 08:48:40",1.00000
10127000,"БУТОРИН Василий","2023-03-27 23:36:57",1.00000
9984047,zhangshan12,"2023-03-29 03:01:29",1.00000
10066587,"Le trio de choc","2023-03-30 15:13:07",1.00000
10141665,my5t1c,"2023-03-30 11:27:35",1.00000
9776633,"Anirban Chatterjee #2","2023-03-30 11:38:12",1.00000
10148643,"gwenael mouthuy","2023-03-31 12:17:46",1.00000
10146661,tso-ff,"2023-04-01 07:25:55",1.00000
9301832,Roma_zbj,"2023-04-01 11:15:17",1.00000
10144037,"Quater Name","2023-04-05 21:40:16",1.00000
10155911,JustNik77,"2023-04-03 15:42:29",1.00000
3927183,chuprovs,"2023-04-02 18:55:35",1.00000
10149640,linzenghui,"2023-04-04 02:44:55",1.00000
10161709,"OptiWisdom #2","2023-04-03 05:03:52",1.00000
10162942,cloudflyofhistory,"2023-04-03 09:36:27",1.00000
9759947,"Arnav Goel #2","2023-04-03 17:45:06",1.00000
9189348,"SUSHIL YEOTIWAD","2023-04-10 09:58:27",1.00000
10173170,"Surya Vamsi Rallabandi","2023-04-05 00:44:14",1.00000
10183128,BlamerX,"2023-04-06 18:42:54",1.00000
10185561,"Hajari Kishan","2023-04-07 07:09:36",1.00000
10203286,"Swamita sachan","2023-04-10 18:54:56",1.00000
10203293,"Anushka amar","2023-04-10 18:56:01",1.00000
10203294,"SHIVENDRA SINGH_12","2023-04-10 18:56:30",1.00000
10204416,"Peiran Wang","2023-04-11 01:21:15",1.00000
10201289,JoshuaBurgin,"2023-04-11 10:04:13",1.00000
4340928,"Doug McGlathery","2023-03-10 04:30:35",0.99760
1382022,bbsoft0,"2023-03-13 20:04:40",0.99760
6845050,NPUMLER,"2023-03-18 10:18:41",0.99760
9903217,cccchj,"2023-03-24 15:31:26",0.99282
9704635,"Karlov Ivan","2023-04-09 08:39:02",0.99282
9850028,"Marek Hanzl","2023-02-12 14:14:27",0.98803
9925088,katoue,"2023-02-21 13:44:34",0.98803
10029771,"Bohdan Gerega","2023-03-14 17:06:40",0.98803
10072115,Bioxes,"2023-03-18 17:25:34",0.98803
6923491,ioannis_triantafyllakis,"2023-03-26 10:38:51",0.98803
9262220,Ethanlam0415,"2023-04-09 13:25:19",0.98803
9423789,"Carter Tran","2023-02-11 19:17:30",0.98564
10018248,SpandanRoy_1321,"2023-03-09 15:04:28",0.98564
10135576,"Pranav Nadimpalli","2023-03-29 23:03:17",0.98564
5694156,wadnijfioa,"2023-03-09 06:36:50",0.97846
9965098,"Louis Liu","2023-03-03 07:44:33",0.97368
9780528,"Ali Reza Hussaini","2023-03-10 22:15:17",0.96172
9725903,"hakan #2","2023-03-13 07:19:45",0.89712
10157331,"Rick Baldacchino","2023-04-09 03:43:45",0.89712
9950434,Himanshu-2012,"2023-03-11 14:04:00",0.89473
9822018,"Daiki Kurosu","2023-03-16 02:04:25",0.89473
10122885,"21020004 Nguyễn Công","2023-03-27 09:55:20",0.89473
9049394,"Saksham Parashar","2023-04-04 14:11:31",0.89473
5262717,"Vivek Gediya","2023-03-16 19:34:48",0.87559
10085906,"Tokyo Rabbits","2023-03-29 14:06:28",0.86602
9926566,"Eimantas Godliauskas","2023-02-22 10:48:48",0.86363
9901351,ゴニャットチー,"2023-02-23 12:06:14",0.86363
10131834,NansKrr,"2023-03-30 14:38:08",0.86124
10031854,Robinsstudio,"2023-03-16 09:17:45",0.84210
9172293,"Alimohamad Amel","2023-03-31 00:53:34",0.83732
10134666,"Kiri Elizabeth","2023-04-05 02:58:14",0.82775
8125902,CasvalRemDeikun,"2023-02-21 06:34:04",0.82535
8892225,xiaohu2200,"2023-03-13 06:43:50",0.82535
4457466,"SIVA RAMA KRISHNA PERUMALLA","2023-04-11 14:08:30",0.82296
4011413,"Jordi Rosell","2023-02-11 11:10:17",0.82057
5701522,IvanVaccari,"2023-03-05 00:20:09",0.82057
1578477,SAITO,"2023-03-08 00:59:33",0.82057
4416814,wickedx,"2023-03-23 10:07:42",0.81818
9401695,KensVerse,"2023-03-05 23:57:19",0.81818
9985616,"Hugo Nombela","2023-03-07 21:32:23",0.81818
9317026,"Law Han","2023-03-13 15:47:05",0.81818
9841554,"Mauricio Haruo Matsumura","2023-04-12 01:34:24",0.81818
10022394,little_inkfish,"2023-03-15 02:08:07",0.81818
10034364,浪人,"2023-03-28 10:41:34",0.81818
9165137,Stanislaus,"2023-03-25 14:34:16",0.81818
9165567,"Luc Blanchard","2023-03-27 01:33:09",0.81818
7935885,"Lucas Bensaid לוקה בנתל","2023-03-28 11:46:32",0.81818
10068991,ericwang2001,"2023-04-12 04:44:25",0.81818
10127066,"zaeria anas","2023-03-30 17:19:21",0.81818
9950690,Dreygaen,"2023-04-02 15:11:18",0.81818
10201837,"Mohamed Elhassnaoui","2023-04-11 11:04:02",0.81818
9896968,rearcow,"2023-02-16 05:27:46",0.81578
9078484,makit,"2023-02-17 11:36:28",0.81578
4663969,"amir Mhm","2023-02-17 12:47:24",0.81578
9909429,harunan,"2023-02-18 12:42:30",0.81578
9605917,jhonyd55,"2023-02-28 17:46:29",0.81578
8521519,jixiang1111111,"2023-03-25 16:51:16",0.81578
9953813,ouc_yaoxujie,"2023-02-28 12:41:49",0.81578
9974545,"Renato Evangelista","2023-03-04 16:19:15",0.81578
8368491,"Guo Fenwei","2023-03-12 14:57:09",0.81578
9893385,EmperorNecro,"2023-03-05 14:08:45",0.81578
9734193,"Andries Danu","2023-03-07 19:34:47",0.81578
10002836,"ouc_Xuxin Fu","2023-03-07 14:47:41",0.81578
10030395,"sangem vishwa","2023-03-26 11:25:15",0.81578
9800427,"Santosh ","2023-03-13 16:02:19",0.81578
9304300,Mal,"2023-03-14 00:34:25",0.81578
10034934,"Sergei Gagarin","2023-03-14 07:10:34",0.81578
10033980,"Arthur Astakhov","2023-03-20 10:37:40",0.81578
9928039,leftbyte,"2023-03-15 18:06:42",0.81578
9243977,Jeongz,"2023-03-21 08:19:27",0.81578
9560721,"Srujan Kondru","2023-03-25 14:18:42",0.81578
10038007,andy227,"2023-03-26 02:51:57",0.81578
9151658,"Omar Khankishiev","2023-03-23 20:07:36",0.81578
10043080,"Gino Agostinelli","2023-03-24 20:26:18",0.81578
9920663,"Aleksandr Gavrikov","2023-04-09 20:30:01",0.81578
10123102,yaouguai,"2023-03-27 09:44:20",0.81578
9882953,"Suren Vayradyan","2023-03-27 19:50:04",0.81578
9614568,wataotsu,"2023-03-28 04:59:23",0.81578
10128608,"Henry Cavills","2023-03-28 06:37:49",0.81578
9759530,"Rushi badne","2023-03-28 06:03:18",0.81578
10130164,H24086058徐仁瓏,"2023-04-12 04:03:00",0.81578
10125177,Lhengy,"2023-04-05 03:44:22",0.81578
9401755,"[Deleted] f880e64a-8627-4167-8496-dcdf369a9fc0","2023-03-28 15:25:15",0.81578
10142240,Thomas23456,"2023-03-30 15:11:20",0.81578
10001643,NooKo92,"2023-04-01 02:50:46",0.81578
10154418,ohjeongho,"2023-04-01 11:48:09",0.81578
10165552,kunansy,"2023-04-12 03:23:36",0.81578
9154471,"Matt Hitch","2023-04-06 03:42:01",0.81578
10072632,"Roland Erdei","2023-04-06 09:21:11",0.81578
10166150,jojo2023,"2023-04-10 00:59:10",0.81578
10172299,"Cody Falkosky","2023-04-11 22:03:21",0.81578
9912473,DaZhou2001,"2023-02-19 14:12:32",0.81339
6031705,HongkyuRyu,"2023-02-19 09:41:45",0.81339
9911821,syulkim,"2023-02-21 03:01:13",0.81339
9947146,Mango_jang,"2023-02-25 11:36:06",0.81339
9941055,"Kaileigh Stopa","2023-03-01 21:50:10",0.81339
6943719,"Mario Caesar","2023-03-06 15:37:48",0.81339
5380049,"Henry Javier","2023-03-02 03:10:33",0.81339
9971092,blisses1!,"2023-03-02 08:05:41",0.81339
9862865,"MUKUND AGARWAL 07","2023-03-03 02:34:12",0.81339
9972362,zitongwang_sir,"2023-03-07 13:10:09",0.81339
9958441,SONG97,"2023-03-13 16:48:09",0.81339
9578182,"jang wj","2023-03-10 09:56:34",0.81339
9978205,"Du Guanhuan","2023-03-10 13:37:33",0.81339
8903433,"Amhaeng Eosa","2023-03-11 15:35:42",0.81339
10033069,JustinGC,"2023-03-12 12:16:51",0.81339
10048566,JLLearning,"2023-03-15 18:41:47",0.81339
10050487,dalcom,"2023-03-16 05:19:38",0.81339
10029476,qlchristina,"2023-03-20 08:00:50",0.81339
10112968,zhiweigood2222704,"2023-03-25 08:35:01",0.81339
10113436,"Seulah Lee","2023-03-25 11:38:38",0.81339
10088462,"ahmed brahim","2023-03-29 02:14:58",0.81339
9934496,packchanwoo,"2023-04-05 17:27:02",0.81339
10114595,gg_ynov,"2023-03-30 21:09:41",0.81339
10068481,"Dmitry #29","2023-04-07 23:52:09",0.81339
9253489,Daniel-890827,"2023-04-05 01:08:41",0.81339
10148367,"Jason Park #4","2023-04-12 07:20:56",0.81339
10141647,kate70313,"2023-04-12 06:47:26",0.81339
10160672,김영민임,"2023-04-12 06:59:04",0.81339
9866774,"Junxi Lin","2023-02-11 13:17:00",0.81100
9875364,"Chetna Bhavsar","2023-02-12 12:51:51",0.81100
9897154,Archiy_,"2023-02-16 11:18:02",0.81100
9888263,"Ahmed H. Mansour","2023-02-24 17:23:11",0.81100
9906296,"PRIYANSHU SINGH 20BCE1125","2023-02-17 18:20:14",0.81100
9909506,"Hüseyin Pekkan","2023-02-25 08:40:40",0.81100
9888577,Cody_Null,"2023-02-20 05:08:14",0.81100
2020396,"SAIT VNTU","2023-03-17 10:59:11",0.81100
9900666,"Ashwini Kamath #2","2023-02-21 23:31:56",0.81100
9215379,Shikoku-4,"2023-02-22 13:57:03",0.81100
9994316,"alfred trt","2023-03-05 21:27:39",0.81100
9977933,"Marcel Jo Pi","2023-03-07 12:01:31",0.81100
9520889,datingwang,"2023-03-13 22:10:28",0.81100
4000519,JingJingJingYa,"2023-03-24 06:51:09",0.81100
10035288,mefs548,"2023-03-30 12:12:50",0.81100
10091548,"Masatoshi Matsumiya","2023-03-28 14:02:14",0.81100
9180755,"Roman METIVIER","2023-03-30 20:15:09",0.81100
9190477,"Shai Nisan","2023-04-02 05:32:32",0.81100
5394416,"Abubaker M","2023-04-04 13:40:28",0.81100
10185065,"Ivan Guschin","2023-04-07 05:48:34",0.81100
10142405,JMAscacibar,"2023-04-09 12:10:21",0.81100
10137320,邵禹翔,"2023-04-09 10:09:33",0.81100
10052973,cyruslau,"2023-04-09 17:04:47",0.81100
10201789,"Mounia El arachi","2023-04-10 14:16:50",0.81100
9835962,"Priit Pa","2023-02-12 11:49:05",0.80861
9888300,"fatimaa kassouh ","2023-02-16 23:30:11",0.80861
6322799,Xavier001,"2023-03-16 06:26:42",0.80861
9876934,CoderBouy,"2023-03-13 11:43:30",0.80861
7933018,chengliang9802,"2023-02-19 08:27:53",0.80861
9892269,Mr.Wu233,"2023-02-21 02:10:43",0.80861
9939875,"Uditha Maduranga","2023-02-25 23:42:53",0.80861
9952056,Polyhedral,"2023-03-07 07:03:46",0.80861
5902527,ulyumdzhi,"2023-03-10 17:07:49",0.80861
7868134,"Farhan Sadeek","2023-03-17 07:33:18",0.80861
10076835,"Bandel Elizaveta","2023-03-24 19:53:51",0.80861
10087711,EthelW,"2023-03-27 12:18:38",0.80861
9391287,"Golden Miner_2222667","2023-03-24 04:10:47",0.80861
4863038,"Feng-Chung Lu","2023-03-24 21:32:40",0.80861
9741147,"Wei #2","2023-03-26 14:25:15",0.80861
10103561,"Christina Shagiyan","2023-03-26 16:22:10",0.80861
10119274,"Alejandro Decoud","2023-03-27 14:55:18",0.80861
9075585,"Alex #95","2023-04-01 05:10:34",0.80861
10162180,"Kishi Tousei","2023-04-03 11:56:45",0.80861
10152600,"Ting-Hung Tsai","2023-04-05 12:55:51",0.80861
10051569,"CHEUNG Chung Yin ","2023-04-08 00:20:51",0.80861
4674898,"Tariq Khasawneh","2023-04-11 20:33:03",0.80861
3077857,GilsikPark,"2023-04-11 06:37:24",0.80861
10141645,sting0114,"2023-04-11 04:09:43",0.80861
10141646,KwonChangBum,"2023-04-11 06:37:32",0.80861
10158376,"somin J","2023-04-11 06:39:06",0.80861
10141653,vegan111vegan111,"2023-04-11 06:39:17",0.80861
9826042,kgttwow,"2023-02-13 08:11:39",0.80622
9878923,"KUDO HAYU","2023-02-13 06:38:12",0.80622
8844612,"The Yeeh","2023-02-15 18:01:25",0.80622
9879341,Takanori29,"2023-02-17 02:20:46",0.80622
9915789,"JUNGIN YOO","2023-02-20 01:14:15",0.80622
9916519,Robin2002,"2023-02-20 05:08:17",0.80622
8395020,U埋,"2023-02-20 05:31:59",0.80622
9917136,TryBestReachBetter,"2023-02-20 23:30:50",0.80622
9727802,teardrops,"2023-02-21 14:21:39",0.80622
9917516,"Mr.zhang #2","2023-02-28 07:56:57",0.80622
9919269,"xiaohai qu","2023-02-20 14:38:02",0.80622
9912244,"Abdessamia LEMEURS","2023-02-21 09:09:39",0.80622
9929287,"dmg kame","2023-02-24 02:01:36",0.80622
9930299,MYPAphrodte,"2023-02-22 09:45:19",0.80622
9930712,wushaner,"2023-02-22 10:58:51",0.80622
9931672,"Roberto Astudillo","2023-03-13 10:51:49",0.80622
9892282,"Dean #10","2023-03-09 07:00:59",0.80622
9932792,"Vaghasia Arjun","2023-02-22 18:40:41",0.80622
9914855,"Phantasm #2","2023-02-22 19:19:47",0.80622
9936710,"Robert Yang_JH Digitech","2023-02-25 06:45:08",0.80622
9261354,yoshida44,"2023-02-24 22:06:15",0.80622
9915312,TiagoMartins2006,"2023-02-24 23:56:36",0.80622
1675625,"Ayush Oturkar","2023-02-25 21:12:34",0.80622
9972483,hirose504,"2023-03-01 13:34:54",0.80622
9943239,"Jong Gwon Oh","2023-03-07 11:00:31",0.80622
6515147,"Andrei Kostunin","2023-03-04 19:26:20",0.80622
9993357,"Hovhannes Manushyan","2023-03-06 13:38:30",0.80622
9874093,"Hideo Teramura","2023-03-09 12:02:26",0.80622
9854335,eppdata,"2023-03-10 13:01:21",0.80622
10034011,CaoYufeng,"2023-03-12 09:12:27",0.80622
10034971,imokenpin-gunmai,"2023-03-23 01:24:33",0.80622
9866958,"Yuya Ogawa","2023-03-14 10:53:50",0.80622
10112291,mjmyut,"2023-03-27 06:19:35",0.80622
